序号,来源,发文字号,文件名,命中关键词(泛化),命中段落摘录,取舍理由,置信度,建议处理
134,nfra,,储蓄管理条例,分支机构 ,[body]…息的活动。 任何单位和个人不得将公款以个人名义转为储蓄存款。 第四条 本条例所称储蓄机构是指经中国人民银行或其分支机构批准，各银行、信用合作社办理储蓄业务的机构，以及邮政企业依法办理储蓄业务的机构。 第五条 国家保护个人合法储蓄…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
135,nfra,金规〔2026〕3号,国家金融监督管理总局关于实施《保险公司资产负债管理办法》有关事项的通知, ,[body]…2019〕98号）同时废止。 附件：1.保险公司资产负债管理报告内容和要求2.财产保险公司资产负债管理报表3.人身保险公司资产负债管理报表4.保险公司资产负债管理能力评估表5.保险资产负债管理指标压力情景6.保险资产负债管理指标转换…,文件主体/适用对象明确为人身险/寿险/健康险/养老险公司（含其资管子公司）；同时存在排除信号(财产保险公司)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
136,nfra,金办发〔2026〕67号,国家金融监督管理总局办公厅 民政部办公厅 司法部办公厅关于推广浙江省、青岛市已故人士金融账户查询服务试点经验的通知,保险公司|保险机构|保险资产管理 ,[meta]…兵团民政局、司法局，各政策性银行、大型银行、股份制银行、外资银行、直销银行、理财公司，各保险集团（控股）公司、保险公司、保险资产管理公司、养老金管理公司，各金融控股公司：为深入贯彻落实国务院关于推进政务服务“高效办成一件事”的决…,同时存在排除信号(金融资产)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
137,nfra,,国家金融监督管理总局2026年规章制定工作计划,保险公司|保险机构|保险资金|偿付能力 ,[meta]…监督管理总局2026年规章制定工作计划 国家金融监督管理总局2026年规章制定一、拟出台的规章序号项目类型1《保险公司资产负债管理办法》制定2《国家金融监督管理总局派出机构监管职责规定》修订3《国家金融监督管理总局非现场监管暂行…,"同时存在排除信号(金融资产,银行业)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
138,nfra,,中国人民银行 工业和信息化部 市场监管总局 金融监管总局 中国证监会 国家知识产权局 国家网信办 国家外汇局公告〔2026〕第9号,保险产品|分支机构 ,[body]…域客户提供。有经营区域限制的金融机构应当按照金融管理部门制定的标准对客户所在区域进行识别审核，面向注册地及设有分支机构区域的客户提供金融产品。第三方互联网平台为金融产品网络营销提供服务应当接受金融机构依法委托，符合金融管理部门相…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
139,nfra,金发〔2026〕2号,金融监管总局 财政部 农业农村部 中国人民银行关于做好帮扶小额信贷工作的通知,分支机构 ,[body]…结合实际制定。 五、切实抓好工作落实（一）强化组织领导。各级金融监管部门、财政部门、农业农村部门、中国人民银行分支机构要进一步提高思想认识，强化政治担当，加大工作统筹、政策协调和信息共享力度，充分发挥工作合力。（二）做好政策衔接…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
140,nfra,发改低空〔2026〕123号,国家发展改革委 金融监管总局 中国民航局关于推动低空保险高质量发展的实施意见,保险产品|保险公司|保险机构 ,[body]…体系， 更好服务低空经济安全健康发展。 到 2027 年， 无人驾驶航空器责任保险强制投保制度初步建立， 低空保险产品不断丰富， 更好满足各类应用场景保障需求； 到 2030 年， 低空保险政策框架基本形成， 对低空经济安全健康…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
141,nfra,交运发〔2026〕4号,交通运输部 工业和信息化部 商务部 国务院国有资产监督管理委员会 国家金融监督管理总局 国家铁路局 中国民用航空局 国家邮政局关于印发《加快培育交通物流领军企业 提升产业链供应链服务保障能力行动方案》的通知,保险产品 ,[body]…服务。加强物流供应链企业与金融机构数据共享、交叉互验，支持金融机构提高供应链金融服务水平。鼓励金融机构优化完善保险产品，为交通物流企业拓展国际市场提供保险服务。交通运输部会同工业和信息化部、商务部、国务院国有资产监督管理委员会、…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
142,nfra,财金〔2026〕2号,财政部 国家发展改革委 中国人民银行 金融监管总局关于优化实施设备更新贷款财政贴息政策的通知,分支机构 ,[body]…政部门提出2026年全年贴息资金需求申请，省级财政部门收到申请后10个工作日内向省行预拨贴息资金。省行按月汇总分支机构贴息资金申请并向省级财政部门提交申请及证明材料。省级财政部门要会同相关部门建立联审工作机制，集中组织相关部门开…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
143,nfra,,商业银行托管业务监督管理办法（试行）, ,[body]…前述金融产品是指各类资产管理产品以及国务院金融管理部门认可的其他金融产品；专项资金是指来源于社会保障基金、基本养老保险基金、企业年金、职业年金、保险公司的资金等。第四条 商业银行所托管产品持有的财产（以下简称托管产品财产），包括…,"正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(商业银行,银行业)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
144,nfra,其他〔2025〕2号,银行卡清算机构管理办法,分支机构 ,[body]…采取责令限期改正、停止职权或免除职务等措施，并按规定向中国人民银行报告。 第二十一条 银行卡清算机构在境内设立分支机构，应当符合以下条件： （一）符合银行卡清算机构发展规划; （二）具备持续经营能力; （三）具备良好的公司治理、…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
145,nfra,金发〔2025〕14号,国家金融监督管理总局 中国人民银行中国证券监督管理委员会关于推进金融纠纷调解工作高质量发展的意见,分支机构 ,[body]…解纷方案快速审批等机制。在财务管理、审计、检查等内部监督工作中，体现对参与纠纷调解的支持导向，提升各部门、各级分支机构以及人员参与积极性。要认真研究吸纳金融纠纷调解组织的调解建议，建立溯源整改机制，从源头上减少纠纷。要定期总结参…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
